"Field";"freqRatio";"percentUnique";"zeroVar";"nzv";"className";"isSymbolic";"isNumeric";"nDistinct";"nNA";"isDate";"isBoolean";"Overlap";"ksTest";"AUCVal";"AUCDev";"Binning";"BinParam";"FinalName"
"VAR_1098";"8.85266630016493";"0.04";"FALSE";"FALSE";"integer";"FALSE";"TRUE";"8";"0";"FALSE";"FALSE";"1";"0.060546875";"0.555100094060659";"0.549635965098766";"symbin";"320";"VAR_1098_symbin"
"VAR_1099";"1.19146198830409";"0.04";"FALSE";"FALSE";"integer";"FALSE";"TRUE";"8";"0";"FALSE";"FALSE";"1";"0.025390625";"0.593512870777338";"0.595286863725195";"symbin";"320";"VAR_1099_symbin"
"VAR_1100";"11.0937709310114";"0.04";"FALSE";"FALSE";"integer";"FALSE";"TRUE";"8";"0";"FALSE";"FALSE";"1";"0.087890625";"0.590157645089286";"0.567992125483898";"symbin";"320";"VAR_1100_symbin"
"VAR_1329";"1.19894366197183";"1.095";"FALSE";"FALSE";"integer";"FALSE";"TRUE";"219";"0";"FALSE";"FALSE";"0.805668016194332";"0.248046875";"0.641487402487574";"0.63325145240121";"numbin";"90";"VAR_1329_numbin"
"xtraNumNAs";"10.6244186046512";"0.015";"FALSE";"FALSE";"numeric";"FALSE";"TRUE";"3";"0";"FALSE";"FALSE";"1";"0.052734375";"0.504021668469256";"0.500541363001126";"numbin";"4";"xtraNumNAs_numbin"
"VAR_0073_asdate";"1.06666666666667";"5.465";"FALSE";"FALSE";"numeric";"FALSE";"TRUE";"1093";"13957";"FALSE";"FALSE";"0.708730158730159";"0.0625";"0.46575271539028";"0.46581028043637";"numbin";"2";"VAR_0073_asdate_numbin"
"VAR_0176_asdate";"1.27272727272727";"5.66";"FALSE";"FALSE";"numeric";"FALSE";"TRUE";"1132";"17623";"FALSE";"FALSE";"0.458360232408005";"0.193359375";"0.479821543630339";"0.522320078479004";"numbin";"250";"VAR_0176_asdate_numbin"
"VAR_0073_wday";"1.01835748792271";"0.035";"FALSE";"FALSE";"character";"TRUE";"FALSE";"7";"13957";"FALSE";"FALSE";"1";NA;"0.624325287359628";"0.621793944084752";"symbin";"16";"VAR_0073_wday_symbin"
"VAR_0073_week";"1.125";"0.265";"FALSE";"FALSE";"numeric";"FALSE";"TRUE";"53";"13957";"FALSE";"FALSE";"1";"0.07421875";"0.584997073188973";"0.588383531732183";"numbin";"8";"VAR_0073_week_numbin"
"VAR_0176_wday";"1.09276018099548";"0.035";"FALSE";"FALSE";"character";"TRUE";"FALSE";"7";"17623";"FALSE";"FALSE";"1";NA;"0.562266286588733";"0.552080050039259";"symbin";"16";"VAR_0176_wday_symbin"
"VAR_0176_week";"1.05479452054795";"0.265";"FALSE";"FALSE";"numeric";"FALSE";"TRUE";"53";"17623";"FALSE";"FALSE";"1";"0.083984375";"0.536678263645987";"0.533720229997654";"numbin";"40";"VAR_0176_week_numbin"
"VAR_0073_asdate_VAR_0176_asdate";"4.625";"6.56";"FALSE";"FALSE";"numeric";"FALSE";"TRUE";"1312";"17731";"FALSE";"FALSE";"0.217105263157895";"0.12109375";"0.558812901267949";"0.557617420798768";"numbin";"200";"VAR_0073_asdate_VAR_0176_asdate_numbin"
